                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.599,                 4.5361,                 3.4127,                 1.7846,                  0.022,                0.69128,                0.13655,                0.07124,                0.01762,                0.62658,                0.12262,                0.06014,                 1.5383,                 4.5934,                 3.7129,                 1.8774,             0.00017776,             0.00017776,             0.00017776
                      2,                 1.6124,                 3.7625,                 2.9522,                 1.7754,                 0.0503,                0.65063,                0.11827,                0.05998,                0.03639,                0.51036,                0.09787,                0.04696,                 1.6375,                 4.6165,                 3.6038,                 1.8791,               0.000363,               0.000363,               0.000363
                      3,                 1.5275,                 3.4388,                 2.5193,                  1.735,                0.66006,                0.17215,                0.17749,                 0.0883,                0.63441,                0.14658,                 0.1517,                0.06852,                  1.772,                 4.3887,                 3.1835,                 2.1294,              0.0005445,              0.0005445,              0.0005445
                      4,                 1.5618,                 3.4523,                 2.3488,                 1.7324,                0.62441,                0.23459,                 0.1914,                0.09593,                0.58294,                0.21607,                0.16978,                0.07862,                 1.6791,                 4.0379,                 3.0053,                 1.8905,             0.00072226,             0.00072226,             0.00072226
                      5,                 1.6037,                  3.472,                 2.3259,                 1.7504,                0.65991,                0.22105,                0.22546,                0.11461,                0.64477,                0.20303,                 0.2004,                 0.0987,                 1.7274,                 4.3761,                 3.1134,                 1.9888,             0.00089628,             0.00089628,             0.00089628
                      6,                 1.5724,                 3.4191,                 2.2571,                 1.7294,                0.64636,                0.22079,                0.20745,                0.10841,                0.61526,                0.22151,                0.16389,                0.07281,                 1.7386,                 4.5733,                 2.7496,                 2.0366,               0.001056,               0.001056,               0.001056
                      7,                 1.5882,                 3.4385,                 2.2566,                 1.7724,                0.65249,                0.24495,                0.21314,                 0.1079,                0.64631,                0.20513,                0.18442,                  0.092,                 1.7699,                 4.9863,                 2.8044,                 2.0294,               0.001056,               0.001056,               0.001056
                      8,                 1.6438,                  3.527,                 2.4112,                 1.8385,                0.63146,                0.20825,                0.20614,                0.10283,                0.58185,                0.15722,                0.15038,                0.05766,                 1.7593,                 5.4427,                 2.7306,                 1.9902,               0.001045,               0.001045,               0.001045
                      9,                 1.5499,                 3.4118,                 2.2252,                 1.7279,                0.67999,                0.20279,                0.21763,                 0.1097,                0.66703,                0.18533,                0.17815,                0.07814,                 1.7738,                 4.3975,                 2.8176,                 2.0629,               0.001034,               0.001034,               0.001034
                     10,                 1.5319,                 3.3708,                 2.1651,                 1.6947,                0.64401,                0.21711,                 0.2072,                0.10856,                 0.6378,                0.20406,                0.17563,                0.08483,                 1.6611,                 4.1814,                 2.6696,                 2.0082,               0.001023,               0.001023,               0.001023
                     11,                 1.5108,                 3.3302,                 2.2314,                  1.739,                0.40965,                0.31768,                0.23006,                0.11101,                0.39582,                0.28061,                0.17676,                 0.0825,                 1.7707,                 4.7089,                 2.9962,                 2.0347,               0.001012,               0.001012,               0.001012
                     12,                 1.5321,                 3.3317,                 2.1174,                 1.6994,                0.57686,                0.24584,                 0.2346,                 0.1253,                 0.5608,                0.23107,                0.20961,                0.10187,                  1.727,                 3.9892,                 2.8052,                  1.929,               0.001001,               0.001001,               0.001001
                     13,                 1.4926,                 3.3069,                  2.037,                 1.6704,                0.26638,                0.35964,                0.23463,                0.12445,                0.23084,                 0.3042,                 0.2091,                0.10803,                 1.6883,                 3.7682,                 2.8518,                 1.9669,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.4649,                  3.221,                 2.0108,                 1.6626,                0.33119,                0.40147,                0.28334,                0.15342,                0.30991,                 0.3592,                0.23031,                 0.1163,                 1.7844,                  3.995,                 2.6689,                 2.1407,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.5187,                 3.3205,                 2.0348,                  1.708,                0.53474,                0.37934,                0.36037,                0.19816,                0.45639,                0.33686,                0.28178,                0.14574,                 1.7525,                  4.019,                 2.5011,                 2.0909,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.4651,                 3.1827,                  1.921,                 1.6609,                0.25061,                0.39237,                0.31005,                0.14662,                0.28036,                0.34124,                0.24815,                0.12593,                  1.717,                 4.0644,                 2.6701,                 2.0192,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.4955,                 3.3997,                 2.0175,                 1.6563,                0.48905,                0.40027,                0.39408,                0.19114,                0.47458,                0.38648,                0.34547,                0.17181,                 1.7437,                 4.0533,                 2.4296,                 2.0074,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.4596,                 3.0774,                 1.9048,                 1.7116,                0.38558,                0.44756,                 0.3649,                0.17675,                0.43137,                0.34335,                0.31461,                0.14741,                 1.6971,                 4.1959,                 2.4533,                 2.0029,             0.00093502,             0.00093502,             0.00093502
