                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.85532,                 2.4591,                 1.6499,                 1.3248,                0.57266,                0.68249,                0.65346,                0.52657,                0.64299,                0.54868,                0.54826,                 0.3293,                0.93432,                 2.8765,                 2.1446,                 1.5482,             7.3665e-05,             7.3665e-05,             7.3665e-05
                     24,                0.88882,                 2.5086,                  1.595,                 1.3554,                0.57378,                0.68446,                 0.6532,                0.53002,                0.52812,                0.61487,                0.54937,                0.32917,                0.89733,                 2.9913,                 2.1157,                 1.5257,             7.2745e-05,             7.2745e-05,             7.2745e-05
                     25,                0.86173,                 2.4808,                 1.5859,                 1.3357,                0.59776,                0.66172,                0.66746,                0.54415,                0.57717,                0.57364,                0.56665,                0.32955,                0.90712,                 2.9337,                 2.0567,                 1.5179,             7.1824e-05,             7.1824e-05,             7.1824e-05
                     26,                0.84972,                 2.4414,                 1.5657,                 1.3473,                0.74294,                0.56759,                0.65604,                 0.5402,                0.66327,                0.53882,                0.54688,                0.33831,                0.89776,                 3.0149,                 2.0984,                 1.4759,             7.0903e-05,             7.0903e-05,             7.0903e-05
                     27,                0.83555,                 2.3971,                 1.5215,                 1.3138,                0.69531,                0.68037,                0.67806,                0.54937,                0.61375,                0.60144,                0.57118,                0.33879,                0.89385,                 3.1428,                  2.003,                 1.4662,             6.9982e-05,             6.9982e-05,             6.9982e-05
                     28,                0.83294,                 2.3786,                 1.5209,                 1.3312,                0.75864,                0.66128,                0.67885,                0.54537,                 0.6726,                0.61543,                0.57871,                0.34242,                0.88609,                 3.1271,                  1.945,                 1.4704,             6.9062e-05,             6.9062e-05,             6.9062e-05
                     29,                0.83167,                  2.389,                  1.466,                 1.3245,                 0.6268,                0.60538,                0.65755,                 0.5275,                0.72825,                 0.4943,                0.51526,                0.30343,                0.91775,                 2.9039,                 1.9898,                 1.5068,             6.8141e-05,             6.8141e-05,             6.8141e-05
                     30,                0.83463,                 2.4354,                  1.487,                 1.3275,                0.73788,                0.57567,                0.64751,                0.53864,                0.65895,                 0.5053,                0.52716,                0.30915,                0.85704,                 2.8771,                 1.9761,                 1.4604,              6.722e-05,              6.722e-05,              6.722e-05
                     31,                0.81816,                 2.3395,                 1.4698,                 1.3045,                0.74909,                0.57468,                0.64433,                0.54034,                0.68706,                0.52796,                 0.5509,                0.31922,                  0.832,                  2.906,                 1.8985,                 1.4133,               6.63e-05,               6.63e-05,               6.63e-05
                     32,                0.80875,                 2.3256,                 1.4087,                 1.2899,                0.67398,                0.67714,                0.67456,                0.54603,                0.63693,                0.56405,                0.56201,                0.31637,                0.83756,                 2.8715,                 1.8772,                 1.4258,             6.5379e-05,             6.5379e-05,             6.5379e-05
                     33,                0.81251,                  2.377,                 1.4221,                 1.3068,                0.72342,                0.62714,                0.68697,                 0.5557,                0.63916,                0.61632,                0.57694,                 0.3238,                0.85896,                 2.9435,                 1.9192,                 1.4567,             6.4458e-05,             6.4458e-05,             6.4458e-05
                     34,                0.79434,                 2.3406,                 1.3832,                 1.2955,                0.70737,                0.66555,                0.70964,                0.56521,                0.71502,                0.54812,                 0.5815,                0.32235,                0.87177,                 2.9664,                 1.9452,                 1.4684,             6.3538e-05,             6.3538e-05,             6.3538e-05
                     35,                0.80312,                 2.3388,                 1.4307,                 1.3074,                0.68955,                0.64258,                0.70484,                0.55874,                0.67466,                0.51215,                0.51315,                0.30647,                0.88522,                 2.8773,                 1.9516,                 1.4648,             6.2617e-05,             6.2617e-05,             6.2617e-05
                     36,                0.78767,                 2.3192,                  1.395,                 1.2951,                0.69586,                0.61143,                0.68699,                0.55835,                0.67424,                0.51104,                0.52288,                0.32148,                 0.9174,                 2.9346,                 2.0175,                 1.5014,             6.1696e-05,             6.1696e-05,             6.1696e-05
                     37,                0.77368,                 2.2926,                 1.3132,                 1.2629,                0.75922,                 0.5984,                0.69787,                0.55296,                0.75322,                0.50151,                0.53395,                0.32643,                 0.8972,                 2.9388,                 1.9043,                 1.4796,             6.0775e-05,             6.0775e-05,             6.0775e-05
                     38,                 0.8057,                 2.3529,                 1.3638,                 1.2982,                0.58015,                0.63381,                0.67977,                0.55235,                0.74648,                0.50016,                0.53229,                0.31212,                0.92276,                 2.9109,                 1.8313,                 1.4996,             5.9855e-05,             5.9855e-05,             5.9855e-05
                     39,                0.78057,                 2.3044,                 1.3345,                 1.2782,                0.76841,                0.60637,                0.70812,                0.57369,                0.76013,                0.50683,                0.57683,                0.34094,                0.83605,                  2.981,                 1.8073,                 1.4082,             5.8934e-05,             5.8934e-05,             5.8934e-05
                     40,                0.76442,                 2.2893,                 1.3265,                 1.2581,                0.50277,                0.73177,                0.69314,                0.55597,                0.75097,                0.48497,                0.55464,                0.32696,                0.84426,                   2.84,                 1.8298,                 1.4046,             5.8013e-05,             5.8013e-05,             5.8013e-05
                     41,                0.79108,                 2.3445,                 1.3167,                 1.2802,                0.53207,                0.73825,                0.69081,                0.55633,                0.73038,                0.48488,                0.56279,                0.33483,                0.85941,                 2.8714,                 1.8741,                 1.4457,             5.7093e-05,             5.7093e-05,             5.7093e-05
