                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6844,                 4.1206,                 3.1773,                 1.7986,                0.03732,                0.65723,                0.10066,                0.04918,                0.02912,                0.54621,                0.08174,                0.03573,                 1.6366,                 4.7593,                 3.5572,                 1.8999,             0.00036005,             0.00036005,             0.00036005
                      2,                 1.6927,                 3.5921,                 2.4777,                 1.7646,                0.60602,                 0.2188,                0.20821,                0.10429,                0.58771,                0.19967,                0.18325,                0.09166,                 1.7382,                  4.233,                 2.8273,                 1.9851,             0.00072315,             0.00072315,             0.00072315
                      3,                 1.6711,                 3.5446,                 2.3337,                 1.7613,                0.55908,                0.26291,                0.18108,                0.08926,                0.60375,                0.14538,                0.14468,                0.06452,                 1.7866,                 4.5083,                 2.8534,                 1.9831,              0.0010789,              0.0010789,              0.0010789
                      4,                 1.6396,                 3.5425,                 2.2754,                 1.7536,                0.50748,                0.29284,                0.32931,                0.16498,                0.83187,                   0.16,                0.23169,                0.12017,                 1.8335,                 5.0648,                 2.9642,                  2.118,               0.001078,               0.001078,               0.001078
                      5,                   1.65,                 3.5497,                 2.1819,                 1.7376,                0.53911,                0.31491,                 0.3237,                0.18007,                0.57242,                 0.2272,                0.22445,                0.11308,                 1.8017,                 4.6021,                 2.7424,                 2.0496,               0.001078,               0.001078,               0.001078
                      6,                 1.6018,                 3.4296,                 2.0821,                 1.6993,                0.63427,                 0.3094,                0.30379,                0.16694,                0.59799,                0.28091,                0.26774,                0.10411,                  1.754,                 4.8027,                 2.5767,                 1.9165,               0.001067,               0.001067,               0.001067
                      7,                 1.6012,                 3.4178,                 2.0281,                 1.6878,                0.65832,                0.30923,                0.35413,                0.21021,                0.55484,                0.34017,                0.30985,                0.17407,                 1.7651,                 4.5288,                 2.7022,                 1.9574,               0.001056,               0.001056,               0.001056
                      8,                 1.6117,                 3.4335,                 2.0463,                 1.6812,                0.62649,                0.32258,                0.34174,                0.18151,                0.57445,                 0.2698,                0.27941,                0.15365,                 1.7177,                 3.8963,                 2.5873,                 1.8684,               0.001045,               0.001045,               0.001045
                      9,                 1.5589,                 3.3283,                 1.9241,                 1.6466,                0.57137,                0.33565,                0.34153,                0.17606,                0.52049,                0.27983,                 0.2785,                 0.1465,                 1.7018,                 4.0525,                   2.49,                 1.8971,               0.001034,               0.001034,               0.001034
                     10,                 1.5461,                 3.2732,                 1.9497,                 1.6499,                0.63751,                 0.2798,                0.31405,                0.17254,                0.62147,                 0.2576,                0.29398,                0.12205,                 1.6944,                  3.904,                 2.5885,                 1.8982,               0.001023,               0.001023,               0.001023
