                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0057,                 3.9966,                 3.5262,                 1.3553,                0.02032,                0.89844,                0.27771,                0.17062,                0.01265,                0.55791,                0.16058,                0.07866,                0.83435,                 3.4125,                 3.6185,                 1.3302,             0.00013073,             0.00013073,             0.00013073
                      2,                0.95144,                 3.2584,                 2.9053,                 1.3356,                0.03009,                0.89062,                0.34425,                0.21337,                0.02133,                0.63976,                0.23568,                0.10775,                 0.9259,                  3.417,                 3.2929,                 1.4746,             0.00026649,             0.00026649,             0.00026649
                      3,                 0.9424,                 2.9344,                 2.3108,                 1.3234,                0.50702,                0.30737,                0.38541,                0.27157,                0.44763,                0.22345,                0.27224,                0.14503,                 1.1237,                 3.6084,                 2.5896,                 1.5523,              0.0003995,              0.0003995,              0.0003995
                      4,                0.96296,                 2.8339,                 1.9813,                 1.3485,                0.47158,                0.45163,                0.43734,                 0.2651,                0.38137,                0.31461,                0.30846,                0.15013,                 1.2994,                 3.4441,                  2.373,                 1.7273,             0.00052977,             0.00052977,             0.00052977
                      5,                0.96194,                 2.7733,                 1.8567,                 1.3508,                0.39799,                0.51389,                0.42073,                0.28236,                0.32503,                0.36793,                0.30106,                0.11626,                 1.1561,                 3.4828,                 2.3225,                 1.5746,             0.00065731,             0.00065731,             0.00065731
                      6,                 0.9654,                 2.6835,                 1.7447,                 1.3651,                 0.4311,                0.54665,                0.45299,                 0.3453,                0.35918,                0.40563,                0.32482,                0.16489,                 1.0537,                 3.3786,                 2.0921,                 1.5361,             0.00073093,             0.00073093,             0.00073093
                      7,                0.94663,                  2.681,                 1.6942,                 1.3512,                0.55043,                0.59236,                0.51019,                0.35661,                0.46864,                0.47084,                0.38325,                0.19696,                 1.1463,                 3.1408,                 2.1725,                 1.6007,             0.00073093,             0.00073093,             0.00073093
                      8,                0.93111,                 2.6622,                 1.6664,                  1.308,                 0.6108,                0.62577,                0.56131,                0.42655,                 0.5511,                0.53881,                0.48146,                0.27238,                0.97032,                 3.1139,                 1.8556,                 1.4525,             0.00072332,             0.00072332,             0.00072332
                      9,                0.89007,                 2.5974,                 1.5496,                 1.2888,                0.58017,                0.61979,                0.60604,                0.43108,                 0.5552,                0.43083,                0.41093,                0.24843,                0.99623,                 3.1374,                 1.9703,                  1.417,             0.00071571,             0.00071571,             0.00071571
                     10,                0.91843,                 2.6238,                 1.5524,                 1.3113,                0.69465,                0.53799,                0.57515,                0.41078,                0.58294,                0.39877,                0.39819,                0.18211,                 1.0198,                  3.519,                 2.0171,                 1.4058,              0.0007081,              0.0007081,              0.0007081
                     11,                0.88634,                 2.5472,                 1.5433,                 1.2892,                0.38947,                0.65908,                0.49899,                0.36347,                0.41473,                0.31151,                0.27138,                 0.1391,                 1.1013,                  4.191,                 2.6149,                  1.534,             0.00070048,             0.00070048,             0.00070048
                     12,                0.90516,                 2.5888,                 1.4946,                 1.2983,                0.62865,                0.41815,                0.53822,                0.34884,                0.57173,                0.36383,                0.38321,                 0.1963,                 1.0697,                 3.4021,                 2.1335,                 1.4642,             0.00069287,             0.00069287,             0.00069287
                     13,                0.86087,                 2.5196,                 1.4267,                 1.2646,                0.47554,                0.50705,                0.53511,                0.37006,                0.60864,                0.36297,                0.42704,                0.23451,                 1.0365,                 3.2641,                 1.9719,                 1.5001,             0.00068526,             0.00068526,             0.00068526
                     14,                 0.8497,                 2.4847,                 1.4003,                 1.2593,                0.73931,                0.50177,                0.54903,                0.39364,                0.56228,                0.45011,                0.42221,                0.24242,                   1.06,                 3.3419,                  1.908,                 1.5089,             0.00067764,             0.00067764,             0.00067764
                     15,                0.83493,                 2.4974,                 1.3904,                 1.2589,                0.40846,                0.68039,                0.57543,                0.46635,                0.42948,                0.55461,                0.49375,                 0.2806,                0.95821,                   3.15,                 1.9404,                 1.4401,             0.00067003,             0.00067003,             0.00067003
                     16,                0.83222,                 2.4287,                  1.329,                 1.2502,                0.55501,                0.50322,                0.55529,                0.43794,                0.53461,                0.46141,                0.46146,                0.27853,                 0.9713,                 3.3049,                 1.9946,                 1.4426,             0.00066242,             0.00066242,             0.00066242
                     17,                0.83868,                 2.4326,                 1.3364,                 1.2318,                0.73421,                0.46852,                0.60084,                0.47939,                0.71157,                0.45204,                0.50035,                0.29504,                0.97084,                  3.257,                   2.03,                 1.4218,              0.0006548,              0.0006548,              0.0006548
                     18,                0.79976,                 2.3333,                 1.2936,                 1.2158,                0.58381,                0.53836,                0.62457,                0.49425,                0.53303,                 0.4746,                0.51839,                0.30826,                0.98025,                 3.0035,                 1.9003,                 1.4334,             0.00064719,             0.00064719,             0.00064719
                     19,                0.80544,                 2.3628,                 1.2962,                 1.2134,                0.77326,                0.54556,                0.67929,                0.52419,                0.74927,                0.50387,                0.59246,                0.32448,                 1.0261,                 3.1923,                 2.0335,                 1.4349,             0.00063958,             0.00063958,             0.00063958
                     20,                0.79068,                 2.3454,                 1.2264,                 1.2161,                0.75847,                0.65108,                0.69919,                0.52857,                0.74698,                0.52055,                0.56292,                0.34958,                 1.0199,                 3.3292,                 1.7618,                 1.4759,             0.00063196,             0.00063196,             0.00063196
                     21,                0.80723,                 2.2962,                 1.2251,                 1.2114,                0.67734,                0.49786,                0.56208,                0.40985,                0.79531,                0.44197,                0.46113,                0.25528,                 1.0782,                 3.2465,                  2.188,                 1.5347,             0.00062435,             0.00062435,             0.00062435
                     22,                0.79046,                 2.2528,                 1.2095,                  1.204,                0.54497,                0.56838,                0.60561,                0.46581,                0.48584,                0.50693,                0.48205,                  0.295,                0.95708,                 3.2037,                  1.942,                 1.3934,             0.00061674,             0.00061674,             0.00061674
                     23,                 0.7697,                 2.2964,                 1.1909,                 1.1845,                0.78436,                0.59098,                0.67943,                0.53114,                0.70458,                0.53283,                0.55007,                 0.3233,                0.91937,                 3.3009,                 1.7089,                 1.3612,             0.00060912,             0.00060912,             0.00060912
                     24,                0.78435,                 2.3112,                 1.1444,                 1.2057,                0.56002,                0.55485,                0.61019,                0.48444,                0.47611,                0.50657,                0.51264,                0.30775,                0.94723,                 3.1428,                 1.8046,                 1.4097,             0.00060151,             0.00060151,             0.00060151
